time,north,east,down,altitude,vxBody,vyBody,vzBody,vNorth,vEast,vDown,roll,pitch,yaw,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,alphaX,alphaY,alphaZ,mass,xcg,mach,qInf,alpha,sideSlip,Fx,Fy,Fz,Mx,My,Mz,drogueDeployed,mainDeployed
0,0,0,0,-0,0,0,0,0,0,0,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,0,0,0,0,0,0,12.02,1.19999,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000383901,0,-0.00365258,0.00365258,0.734617,0,0,0.0767883,0,-0.730592,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.4848,0,0,0,0,0,12.0133,1.19972,0.00215878,0.330543,0,0,882.793,0,0,0,0,0,0,0
0.02,0.00153593,0,-0.0146134,0.0146134,1.4697,0,0,0.153625,0,-1.46164,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.5309,0,0,0,0,0,12.0065,1.19944,0.00431892,1.323,0,0,882.852,0,0,0,0,0,0,0
0.03,0.00345656,0,-0.032887,0.032887,2.20523,0,0,0.23051,0,-2.19315,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.5767,0,0,0,0,0,11.9998,1.19917,0.00648042,2.97861,0,0,882.906,0,0,0,0,0,0,0
0.04,0.00614628,0,-0.058478,0.058478,2.94123,0,0,0.307442,0,-2.92512,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.6222,0,0,0,0,0,11.9931,1.19889,0.00864325,5.2986,0,0,882.955,0,0,0,0,0,0,0
0.05,0.00960556,0,-0.0913908,0.0913908,3.67768,0,0,0.384422,0,-3.65753,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.6673,0,0,0,0,0,11.9863,1.19862,0.0108074,8.28418,0,0,883.001,0,0,0,0,0,0,0
0.06,0.0138349,0,-0.13163,0.13163,4.41457,0,0,0.461449,0,-4.39039,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.7121,0,0,0,0,0,11.9796,1.19834,0.0129729,11.9365,0,0,883.041,0,0,0,0,0,0,0
0.07,0.0188347,0,-0.1792,0.1792,5.15192,0,0,0.538522,0,-5.12369,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.7566,0,0,0,0,0,11.9729,1.19807,0.0151397,16.2568,0,0,883.078,0,0,0,0,0,0,0
0.08,0.0246055,0,-0.234105,0.234105,5.8897,0,0,0.615642,0,-5.85744,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.8008,0,0,0,0,0,11.9661,1.19779,0.0173078,21.2463,0,0,883.11,0,0,0,0,0,0,0
0.09,0.0311477,0,-0.29635,0.29635,6.62793,0,0,0.692807,0,-6.59162,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.8447,0,0,0,0,0,11.9594,1.19752,0.0194772,26.906,0,0,883.138,0,0,0,0,0,0,0
